Q,A
"Привет здравствуй хелло добрый день вечер доброе утро hello hola","Привествую, любимый сотрудник! ))"
"Пока до свидания досвидания прощай досвидос","До свидания, заходите еще"
"Как дела настроение","Работаю, в отличие от многих))"
"Кормовая себестоимость","Никто не знает, что это))"
"Сколько атомов во Вселенной","Вам столько не посчитать))"
"Я устал","Держитесь, я тоже"
"Не работает","Уточните, пожалуйста, что не работает?"
"Ошибка","Уточните, пожалуйста, где ошибка?"
"Не работает клавиатура","А как же Вы это написали? Через helpdesk вызовите специалиста ИТ (Отдел системного администрирования)"
"Как напечатать с большой буквы","Зажав на клавиатуре Shift или нажав клавишу Caps Lock"
"Не работает компьютер ПК ЭВМ монитор МФУ принтер","Проверьте, вставлены ли шнуры питания в розетку и есть ли электропитание в ней, если с электропитанием всё в порядке - через helpdesk вызовите специалиста ИТ (Отдел системного администрирования)"
"Не включается компьютер ПК ЭВМ монитор МФУ принтер","Проверьте, вставлены ли шнуры питания в розетку и есть ли электропитание в ней, если с электропитанием всё в порядке - через helpdesk вызовите специалиста ИТ (Отдел системного администрирования)"
"Проблемы при подключении VPN Не подключается VPN Проблема VPN", "Проверьте наличие доступа в Интернет и правильность пароля"
"Установлен не оригинальный Неоригинальный картридж Cообщение о неоригинальном картридже Ошибка печати связанная с картриджем","На принтере/МФУ нажмите одновременно кнопки STOP и OK и подержите, пока не пропадет надпись."
"Не грузится загружается компьютер ПК ЭВМ виндовс Windows Синий экран","Через helpdesk вызовите специалиста ИТ (Отдел системного администрирования)"
"Не могу зайти 1с 1С УСХП СЭДО ERP BI Казначейство Тестирование Не подходит пароль Не верный пароль Неверный пароль Проблемы с паролем Восстановление пароля Ошибка в пароле Не входит в 1С УСХП СЭДО ERP Казначейство Тестирование Не заходит в систему Ошибка при входе Не могу войти Не заходит","Проверьте правильность ввода пароля - английская раскладка клавиатуры, нажатый Caps Lock. Может Вы меняли пароль, но вводите старый"
"Не работает 1с 1С УСХП СЭДО ERP BI Казначейство Тестирование","Через helpdesk создайте заявку (Отдел системного администрирования)"
"Нет сети","Через helpdesk вызовите специалиста ИТ (Отдел системного администрирования)"
"Медленная скорость интернета Нет доступа к сети Интернет Проблема с интернетом","Через helpdesk создайте заявку (Отдел системного администрирования)"
"Не подключается сетевой диск Не работает сетевой диск Настройка удаленного доступа Настройка Skype Скайп Настройка VPN Настройка RDP Удаленный доступ к 1С УСХП Казначейство Заархивировать почту Архив почты","Через helpdesk создайте заявку (Отдел системного администрирования)"
"Не удается подключится к удаленному рабочему столу Нет подключения по RDP","Проверьте наличие доступа в Интернет, перезагрузите маршрутизатор. Проверьте правильность и актуальность вводимого пароля"
"Не работает электронная почта Outlook Не отправляются письма Не приходят письма Нет входящих сообщений в почте Увеличение почтового ящика Нет места в почтовом ящике Переполнен почтовый ящик Настройка электронной почты Outlook","Через helpdesk создайте заявку (Отдел системного администрирования)"
"Проблема с антивирусом Обновить антивирус Обнаружен вирус Настроить ПК компьютер ноутбука Тормозит ноутбук ПК Покдлючить ПК ЭВМ ноутбук к сети","Через helpdesk создайте заявку (Отдел системного администрирования)"
"Требуется лицензия Слетела лицензия Нет лицензии Установка программы Установите программу Удаление приложения Удалить программу Установка приложения Установка программного обеспечения Не работает программа Не запускается программа","Через helpdesk создайте заявку (Отдел системного администрирования)"
"Зависла программа зависание зависает 1с 1С ворд эксель word excel ","Нажмите на клавиатуре одновременно Ctrl-Shift-Esc, в появившемся окне выберите зависшую программу и нажмите кнопку Снять задачу"
"Настройка Организация рабочего места  Настройка локальной сети\интернет Не работает телефон Установить телефон Заменить телефон Перенести телефон ","Через helpdesk вызовите специалиста ИТ (Отдел системного администрирования)"
"Принтер шумит трещит не печатает Тонер для принтера Закончилась краска для принтера Картридж для принтера Закончился тонер Закончился картридж Заменить картридж Заправка картриджа Принтер печатает с полосками Полосы при печати Грязная печать Пачкает бумагу Жует бумагу Зажевал бумагу Подключить принтер Подключить МФУ Не печатает МФУ Не печатает принтер Застряла бумага в принтере Замятие бумаги Застряла бумага в МФУ Подключить принтер Подключить МФУ Замените контейнер для отработанного тонера Настроить принтер Настроить МФУ Настроить печать Не сканирует Не работает сканер Не работает сканирование","Через helpdesk вызовите специалиста ИТ (Отдел системного администрирования)"
"Ошибка на принтере","Через helpdesk вызовите специалиста ИТ (Отдел системного администрирования)"
"Прошу внести договор в Казначейство Перенос в Казначейство Перенос контрагента Добавление контрагента в Казначейство Добавление р/с расчетного счета Создание договоров в Казначейство Добавление договора в Казначейство","Проверьте наличие карточки договора в УСХП Через helpdesk создайте заявку, обязательно указав ИНН контрагента и/или номер договора ("Отдел автоматизации ИС")"
"Доступ к папке на сетевом диске Доступ к Z: Доступ к O:","Через helpdesk создайте заявку с указанием куда и кому необходим доступ (Отдел системного администрирования)"
"Добавить учетную запись Создать учетную запись Предоставить доступ Открыть доступ Открытие прав Дать права Прекратить доступ Закрыть доступ Убрать доступ Отключить учетку Отключить УЗ Права доступа Разблокировать доступ Заблокировать доступ Заблокирована учетная запись Разблокировать учетную запись Разблокировать учетку Заблокировать учетку Заблокировать УЗ Заблокировать учетную запись Разблокировать УЗ Разлочить Залочить Разблочить Заблочить","Через helpdesk создайте заявку обязательно с указанием кому, в какой ИС и к чему добавить/убрать доступ(Запрос на доступ к ИТ услугам)"
"Как получить доступ к BI 1с 1С УСХП СЭДО ERP","Через helpdesk создайте заявку обязательно с указанием кому, в какой ИС и к чему добавить/убрать доступ(Запрос на доступ к ИТ услугам)"
"Создать подготовить виртуальную машину Снять бэкап с ВМ Снимок ВМ Снепшот ВМ Snapshot ВМ VM","Через helpdesk создайте заявку (Отдел системного администрирования)"
"Предоставление доступа УСХП СЭДО ERP Казначейство 1с 1С Добавить дать выдать доступ в 1с 1С УСХП СЭДО ERP Казначейство","Через helpdesk создайте заявку с указанием системы и кому необходим доступ (Отдел автоматизации ИС)"
"Переименование номенклатуры Завести номенклатуру Добавить номенклатуру Новая номенклатура Отсутствует номенклатура Скорректировать номенклатуру Внести изменения в номенклатуру Перенести номенклатуру Корректировка свойств номенклатуры Добавление номенклатуры для внутр заказа Внутреннего заказа Создание оперативного внутр заказа и закрытие неактуального внутр заказа Добавление нового структурного подразделения Отменить проведение заказа документа Корректировка документа заказа Реализация товаров и услуг Поправка данных КА Изменение КА Исправить КА Карточка контрагента Открыть доступ к периоду Зависший сеанс УСХП Завис сеанс Удалить сеанс Закрыть сеанс Добавление счета Добавить счет","Через helpdesk создайте заявку (Отдел автоматизации ИС)"
"Не работает светофор на весовой измерение веса весовая взвешивание Не взвешивает Нет взвешивания Светофор горит постоянно красным Не реагирует на вес автомобиля Не показывается фото автомобилей при взвешивании Зависание ПО на весовой","Перезапустите ПО 1С:Весовая"
"Заявка на оплату договора не проходит Заявка на оплату договора не проводится","Проверьте наличие договора с контрагентом и от какой компании Вы заводите заявку"
"Не отправляются чеки из кассы Не отправляет в ОФД Не уходят чеки в налоговую ФНС","Проверьте оплачен ли доступ в интернет на торговой точке, перезапустите кассовый терминал"
"Неверный формат хранилища данных Выбрасывает закрывается выходит из 1С УСХП Казначейство ERP","Очистите кэш 1С"
"Поиск внутренних документов в 1С УСХП ERP Казначейство 1С:","Неоходимо сначала надо отключить все фильтры, потом выбрать в левом окне в каких документах искать, а потом запускать поиск"
"Учетная запись Меркурий Учетка Меркурий УЗ Меркурий","Для заведения учетной записи в Меркурий от Вас необходимы следующие документы: 1 Копия паспорта. 2 СНИЛС"
"Заполнен диск С Заполнен диск C Заполнен диск Ц Заполнен системный диск","Перенесите объемные файлы и каталоги на другой диск, удалите ненужные файлы, очистите корзину"
"Настройка принтера МФУ по умолчанию Сделать принтер МФУ основным","Для Windows 10 и 11 - необходимо одновременно нажать на клавиаутуре клавиши Win (в виде флажка) и i, написать в строке поиска 'принтер', выбрать из списка пункт 'Принтеры и сканеры', в списке принтеров нажать на нужный, выбрать 'Управление' и нажать кнопку 'Использовать по умолчанию'"
"Перенос неподписанного договора директум Directum в 1С УСХП Перенос карточки директум Directum в 1С УСХП","Для переноса карточки неподписанного договора обратитесь к Агаркову А.М."
"Прошу перенести в УСХП договор Перенос договора Directum директум","Договор переносится главным бухгалтером на этапе согласования договора"
"Не работает беспроводная мышь","Попробуйте заменить батарейки, выключить и включить мышь."
"Сдохни тварь Сам ты тупой Чмо Лох Жопа Перец пес пёс","Были бы руки - дал по щам"
"Спасибо ты супер огонь великолепен благодарю","Спасибо. Хорошего Вам дня и настроения"
